date,open,high,low,close
2019-07-23 0:00:00,217.59,219.55,208.36,212.48
2019-07-22 0:00:00,225.49,228.34,212.25,217.51
2019-07-21 0:00:00,228.25,229.66,216.99,225.38
2019-07-20 0:00:00,220.84,235.09,219.78,228.2
2019-07-19 0:00:00,225.75,226.23,212.52,220.73
2019-07-18 0:00:00,210.8,229.65,205.71,225.73
2019-07-17 0:00:00,198.94,219.86,191.84,210.81
2019-07-16 0:00:00,228.2,234.5,192.25,198.88
2019-07-15 0:00:00,225.83,235.58,203.08,228.2
2019-07-14 0:00:00,268.8,269.74,222.81,225.85
2019-07-13 0:00:00,274.53,275.04,262.2,268.79
2019-07-12 0:00:00,268.67,278.99,266.21,274.62
2019-07-11 0:00:00,289.23,289.23,262.12,268.63
2019-07-10 0:00:00,307.46,314.18,281.04,289.23
2019-07-09 0:00:00,311.96,318.19,302.69,307.46
2019-07-08 0:00:00,304.72,313.74,300.78,311.97
2019-07-07 0:00:00,288.29,309.69,284.25,304.72
2019-07-06 0:00:00,287.32,296.71,285.28,288.29
2019-07-05 0:00:00,282.86,294.89,280.78,287.47
2019-07-04 0:00:00,301.11,302.74,280.53,282.73
2019-07-03 0:00:00,291.47,302.89,285,301.14
2019-07-02 0:00:00,295.03,297.57,272.65,291.48
2019-07-01 0:00:00,292.89,303.49,280.13,295.07
2019-06-30 0:00:00,317.64,323.5,290.12,292.7
2019-06-29 0:00:00,310.95,324.74,295.18,317.62
2019-06-28 0:00:00,298.35,313.58,295.22,311.05
2019-06-27 0:00:00,339.53,347,280.01,298.35
2019-06-26 0:00:00,318.29,366.8,315.57,339.39
2019-06-25 0:00:00,311.65,318.99,307,318.26
2019-06-24 0:00:00,308.42,314.41,298,311.64
2019-06-23 0:00:00,310.7,321.7,305.58,308.52
2019-06-22 0:00:00,294.25,314.39,289.69,310.79
2019-06-21 0:00:00,271.27,295.94,271.22,294.35
2019-06-20 0:00:00,268.16,273.63,265.71,271.22
2019-06-19 0:00:00,264.68,270,263.59,268.14
2019-06-18 0:00:00,273.14,273.58,261.45,264.66
2019-06-17 0:00:00,267.73,276,266.81,273.16
2019-06-16 0:00:00,267.78,277.06,263.31,267.73
2019-06-15 0:00:00,262.48,272.27,260.61,267.82
2019-06-14 0:00:00,254.67,264.26,251.75,262.47
2019-06-13 0:00:00,261.13,262.98,253.69,254.67
2019-06-12 0:00:00,244.36,261.87,242.2,261.15
2019-06-11 0:00:00,246.61,247.8,236.49,244.29
2019-06-10 0:00:00,231.02,247.45,227.03,246.51
2019-06-09 0:00:00,243.33,244.53,226.56,230.98
2019-06-08 0:00:00,248.78,250.53,240.37,243.25
2019-06-07 0:00:00,248.77,253.28,243.46,248.77
2019-06-06 0:00:00,245.62,250.66,235.01,248.76
2019-06-05 0:00:00,241.46,250.41,237.37,245.63
2019-06-04 0:00:00,250.02,251.67,234.39,241.39
2019-06-03 0:00:00,268.87,270,248,249.91
2019-06-02 0:00:00,264.33,273.2,263.2,268.88
2019-06-01 0:00:00,267.9,275.5,260.68,264.33
2019-05-31 0:00:00,254.59,268.72,245.21,267.9
2019-05-30 0:00:00,268.92,288.62,240.14,254.56
2019-05-29 0:00:00,271.08,274.04,260.05,268.83
2019-05-28 0:00:00,270.7,275.95,264.45,271.03
2019-05-27 0:00:00,264.35,279.59,260,270.53
2019-05-26 0:00:00,250.17,269.4,245.11,264.45
2019-05-25 0:00:00,248.84,257.33,247.22,250.22
2019-05-24 0:00:00,244.63,254.35,241.54,248.87
2019-05-23 0:00:00,243.68,247.34,231.1,244.56
2019-05-22 0:00:00,253.35,260.18,239.63,243.64
2019-05-21 0:00:00,250.48,262,246.06,253.43
2019-05-20 0:00:00,259.37,259.49,238,250.37
2019-05-19 0:00:00,233.57,264,231.77,259.51
2019-05-18 0:00:00,244.31,248,230.62,233.6
2019-05-17 0:00:00,264.35,268.74,223.43,244.3
2019-05-16 0:00:00,248.06,279.76,241.76,264.25
2019-05-15 0:00:00,216.4,250.27,216.21,248.1
2019-05-14 0:00:00,195.83,219.81,194.19,216.4
2019-05-13 0:00:00,188.07,206.87,185.32,195.84
2019-05-12 0:00:00,190.2,204.32,181,188.11
2019-05-11 0:00:00,172.92,205.23,172.92,190.2
2019-05-10 0:00:00,170.96,176.7,168.46,172.91
2019-05-09 0:00:00,170.88,173.88,166.57,170.9
2019-05-08 0:00:00,169.07,173.17,164.8,170.85
2019-05-07 0:00:00,172.98,182.76,167.89,169.18
2019-05-06 0:00:00,163.05,178.05,157.55,173
2019-05-05 0:00:00,163.71,165.36,159.18,163.05
2019-05-04 0:00:00,168.1,171.3,159.76,163.7
2019-05-03 0:00:00,161.82,170.86,160.99,168.06
2019-05-02 0:00:00,160.2,163.48,158.5,161.81
2019-05-01 0:00:00,161.85,163.88,158.36,160.19
2019-04-30 0:00:00,155.14,162.89,155.11,161.83
2019-04-29 0:00:00,157.86,159.05,152,155.11
2019-04-28 0:00:00,159.32,160.24,156.92,157.85
2019-04-27 0:00:00,157.93,166.24,156.35,159.31
2019-04-26 0:00:00,154.7,162.56,151.4,157.95
2019-04-25 0:00:00,164.78,165.49,150.35,154.72
2019-04-24 0:00:00,169.15,169.87,159.26,164.78
2019-04-23 0:00:00,170.52,175.83,167.78,169.16
2019-04-22 0:00:00,168.59,172.3,167,170.52
2019-04-21 0:00:00,172.89,173.48,164.82,168.59
2019-04-20 0:00:00,172.66,176.97,169.87,172.88
2019-04-19 0:00:00,173.34,173.55,168.59,172.64
2019-04-18 0:00:00,165.75,175.2,165.04,173.33
2019-04-17 0:00:00,165.41,167.28,163.78,165.75
2019-04-16 0:00:00,159.91,166.73,159.41,165.37
2019-04-15 0:00:00,167.21,168.81,155.7,159.95
2019-04-14 0:00:00,162.99,168.11,161.2,167.23
2019-04-13 0:00:00,163.2,165.37,160.74,162.99
2019-04-12 0:00:00,164.06,166.5,158.11,163.19
2019-04-11 0:00:00,177.12,177.48,158.27,164.07
2019-04-10 0:00:00,174.58,183.77,168,177.12
2019-04-09 0:00:00,178.71,179.17,171.05,174.6
2019-04-08 0:00:00,174.29,185.87,170.9,178.72
2019-04-07 0:00:00,165.56,175.43,164.06,174.21
2019-04-06 0:00:00,164.84,172.77,159.2,165.5
2019-04-05 0:00:00,157.33,167.83,155.94,164.77
2019-04-04 0:00:00,159.96,164,152.8,157.36
2019-04-03 0:00:00,163.26,177.81,149.23,159.96
2019-04-02 0:00:00,141.24,165.6,141,163.31
2019-04-01 0:00:00,141.41,143.08,139.57,141.24
2019-03-31 0:00:00,142.44,142.5,140.42,141.38
2019-03-30 0:00:00,143.25,145.89,140.06,142.46
2019-03-29 0:00:00,137.85,143.6,137.62,143.25
2019-03-28 0:00:00,139.46,139.57,137.3,137.86
2019-03-27 0:00:00,134.14,140.14,133.84,139.45
2019-03-26 0:00:00,133.97,134.74,132.27,134.18
